"transcript_id","cell_id","overlaps_nucleus","feature_name","x_location","y_location","z_location","qv"
281474976710658,7703,0,"Dkk3",4820.3257,768.67926,15.693588,16.515629
281474976710659,7704,0,"Dkk3",4820.89,731.11847,15.173458,22.901026
281474976710661,7704,0,"Dkk3",4821.784,733.2124,14.51788,15.178098
281474976710664,7886,0,"Bhlhe40",4824.488,656.7761,15.052075,22.886139
281474976710665,7704,1,"Bhlhe40",4825.741,737.8718,17.312185,31.84678
281474976710666,7706,1,"Neurod6",4825.8647,731.9268,15.605976,15.870037
281474976710668,7706,1,"Sox10",4828.9385,729.1626,17.071465,16.680943
281474976710670,7886,0,"Dkk3",4829.487,664.70807,16.564245,8.445508
281474976710674,7886,1,"Dkk3",4831.6465,660.24963,13.983862,28.154264
281474976710676,7886,0,"Dkk3",4834.4844,663.3026,16.49666,22.61611
281474976710677,7706,1,"Sox10",4834.934,728.08673,17.051199,16.227379
281474976710678,-1,0,"Dkk3",4836.308,881.4813,14.430318,40.0
281474976710679,7873,1,"Dkk3",4834.9976,624.5525,15.127246,40.0
281474976710680,7711,0,"Bhlhe40",4836.126,752.92523,15.057694,25.83778
281474976710681,7724,1,"Bhlhe40",4836.407,779.0423,16.70302,40.0
281474976710682,7706,0,"Sox10",4836.1445,727.7681,14.859079,40.0
281474976710683,7886,0,"Dkk3",4836.0254,673.27716,16.230406,15.783508
281474976710684,7885,1,"Dkk3",4836.322,661.5486,14.359548,40.0
281474976710685,7873,1,"Neurod6",4837.4946,627.4125,17.085653,40.0
281474976710686,7709,1,"Gjb2",4838.227,700.5982,15.312146,40.0
281474976710687,7709,0,"Dkk3",4839.077,709.5973,15.16073,40.0
281474976710688,7709,1,"Dkk3",4840.081,699.5368,14.410922,40.0
281474976710689,7709,1,"Bhlhe40",4840.2007,705.3941,15.330307,40.0
281474976710690,7881,0,"Dkk3",4840.694,643.92377,14.267355,40.0
281474976710691,7709,1,"Dkk3",4841.4336,701.1312,14.24024,28.154264
281474976710692,7709,1,"Dkk3",4841.603,704.7347,16.096928,40.0
281474976710693,7709,0,"Dkk3",4841.6445,695.8886,15.27904,40.0
281474976710694,7724,0,"Car4",4842.3906,773.1886,14.265802,40.0
281474976710695,7886,0,"Dkk3",4841.7583,674.8617,15.067827,40.0
281599531251567,35861,1,"Nell1",3639.7512,3124.2585,12.341034,40.0
281599531251568,36074,0,"Trpc4",3639.623,2999.8308,14.839712,40.0
281599531251570,35982,0,"Bdnf",3638.5579,2761.8633,13.753613,17.300417
281599531251571,35794,0,"Acsbg1",3640.0872,3167.2583,12.074652,40.0
281599531251572,35309,1,"Arhgap25",3639.9045,2917.511,13.517621,10.782028
281599531251574,35282,0,"Acsbg1",3639.524,2848.1726,14.729904,40.0
281599531251575,35995,1,"Rprm",3639.247,2779.4473,15.175095,23.390734
281599531251577,36115,0,"Sema6a",3640.4727,3067.5964,13.888914,40.0
281599531251579,5454,1,"Nell1",3639.496,3456.9077,13.969896,40.0
281599531251580,35963,0,"Rasgrf2",3639.1548,2747.2542,13.5520735,40.0
